ERA4452,22/01/2016
ETP248247,22/01/2016
ETP248248,22/01/2016
ETP248249,22/01/2016
ETP248250,22/01/2016
ETP248252,22/01/2016
ETP248260,22/01/2016
ETP248279,22/01/2016
ETP248280,22/01/2016
ETP248323,22/01/2016
ETP248325,22/01/2016
ETP248327,22/01/2016
ETP248328,22/01/2016
ETP248332,22/01/2016
ETP248334,22/01/2016
ETP248338,22/01/2016
ETP248340,22/01/2016
ETP248355,22/01/2016
ETP248404,22/01/2016
ETP248405,22/01/2016
ETP248407,22/01/2016
ETP248408,22/01/2016
EGB100448,22/01/2016
EGB100449,22/01/2016
EGB100451,22/01/2016
EGB100460,22/01/2016
EGB100496,22/01/2016
EGB100497,22/01/2016
EGB100498,22/01/2016
EGB100499,22/01/2016
EGB100501,22/01/2016
ERA4482,22/01/2016
ERA4484,22/01/2016
ERA4488,22/01/2016
ERA4490,22/01/2016
ERA4492,22/01/2016
ERA4493,22/01/2016
ERA4495,22/01/2016
ERA4496,22/01/2016
ETP248447,22/01/2016
ETP248490,22/01/2016
ETP248491,22/01/2016
ETP248492,22/01/2016
ETP248545,22/01/2016
ETP248552,22/01/2016
EGB100520,22/01/2016
EGB100526,22/01/2016
EGB100588,22/01/2016
EGB100589,22/01/2016
EGB100590,22/01/2016
ETP248596,22/01/2016
ETP248597,22/01/2016
ETP248598,22/01/2016
ETP248617,22/01/2016
ETP248643,22/01/2016
ETP248644,22/01/2016
EGB100593,22/01/2016
ETP247422,22/01/2016
ERA4497,22/01/2016
ERA4502,22/01/2016
ERA4503,22/01/2016
ERA4634,22/01/2016
ERA4635,22/01/2016
ERA4640,22/01/2016
ERA4641,22/01/2016
ERA4642,22/01/2016
ERA4731,22/01/2016
ERA4742,22/01/2016
ERA4743,22/01/2016
ERA4744,22/01/2016
