PROVEEDOR,NO.FACT.,IMP. NETO,T. COBRO
100061,FS ETP244738,134582.37,CS
100061,FS ETP244743,153053.72,CS
100061,FS ETP244744,34026.27,CS
100061,FS ETP244769,279187.38,CS
100061,FS ETP244778,149170.78,CS
100061,FS ETP244779,153.26,CS
100061,FS ETP244780,57049.37,CS
100061,FS ETP244784,172519.55,CS
100061,FS ETP244785,39384.64,CS
100061,FS ETP244845,56828.96,CS
100061,FS ETP244860,35299.29,CS
100061,FS ETP244861,125229.34,CS
100061,FS ETP244862,13449.58,CS
100061,FS ETP244868,14302.02,CS
100061,FS ETP244870,221571.87,CS
100061,FS ETP244872,159517.80,CS
100061,FS ETP244873,159517.80,CS
100061,FS ETP244876,21012.00,CS
100061,FS ETP244892,64818.21,CS
100061,FS ETP244893,103948.45,CS
100061,FS ETP244901,82173.79,CS
100061,FS ETP244902,47479.22,CS
100061,FS ETP244906,268696.22,CS
100061,FS ETP244926,681.70,CS
100061,FS ETP244927,20872.36,CS
100061,FS ETP244929,102173.19,CS
100061,FS ETP244930,1022.55,CS
100061,FS ETP244932,5304.00,CS
100061,FS ETP244936,197607.04,CS
100061,FS ETP244970,205465.91,CS
100061,FS ETP244971,3067.14,CS
100061,FS ETP244972,67131.37,CS
100061,FS ETP244973,58962.18,CS
100061,FS ETP244976,108674.67,CS
100061,FS ETP244977,60907.60,CS
100061,FS ETP244982,56474.43,CS
100061,FS ETP244984,65954.48,CS
100061,FS ETP244986,149172.09,CS
100061,FS ETP244987,1533.53,CS
100061,FS ETP244993,109926.51,CS
100061,FS ETP244995,21818.67,CS
100061,FS ETP244996,33108.17,CS
100061,FS ETP244997,84268.64,CS
100061,FS ETP244998,1601.83,CS
100061,FS ETP245004,224244.28,CS
100061,FS ETP245054,224404.43,CS
100061,FS ETP245063,264642.35,CS
100061,FS ETP245068,171308.24,CS
100061,FS ETP245070,54666.05,CS
100061,FS ETP245071,60398.45,CS
100061,FS ETP245090,237129.53,CS
100061,FS ETP245115,260644.63,CS
100061,FS ETP245117,248264.96,CS
100061,FS ETP245122,273498.55,CS
100061,FS ETP245123,1636.08,CS
100061,FS ETP245124,10702.69,CS
100061,FS ETP245125,75924.34,CS
100061,FS ETP245129,96703.45,CS
100061,FS ETP245130,5688.44,CS
100061,FS ETP245140,19584.00,CS
100061,FS ETP245142,265864.94,CS
100061,FS ETP245159,249207.76,CS
100061,FS ETP245161,76166.76,CS
100061,FS ETP245165,387355.54,CS
100061,FS ETP245174,276837.32,CS
100061,FS ETP245190,159517.80,CS
100061,FS ETP245206,159517.80,CS
100061,FS ETP245222,134976.60,CS
100061,FS ETP245260,147899.39,CS
100061,FS ETP245270,245417.17,CS
100061,FS ETP245289,227458.50,CS
100061,FS ETP245293,219847.49,CS
100061,FS ETP245338,31182.59,CS
100061,FS ETP245339,113342.40,CS
100061,FS ETP245342,273328.54,CS
100061,FS ETP245344,56884.38,CS
100061,FS ETP245345,44423.99,CS
100061,FS ETP245369,147899.39,CS
100061,FS ETP245370,147899.39,CS
100061,FS ETP245373,26964.07,CS
100061,FS ETP245375,138464.41,CS
100061,FS ETP245432,249135.51,CS
100061,FS ETP245744,6883.47,CS
100061,FS ETP245991,27533.88,CS
